Service Code,Service Code Description,Is Current,2024/25 ICB Delegation Status,2025/26 ICB Delegation Status,2026/27 Delegation status,Grouping
NCBPS58J,NEUROSURGERY LVHC REGIONAL: EPILEPSY,1,GREEN,GREEN,GREEN,ACUTE
NCBPS58J_TOP,NEUROSURGERY LVHC REGIONAL: EPILEPSY - TOP UP,1,BLUE,BLUE,BLUE,ACUTE
NCBPS58K,NEUROSURGERY LVHC REGIONAL: INSULA GLIOMA’S/ COMPLEX LOW GRADE GLIOMA’S,1,GREEN,GREEN,GREEN,ACUTE
NCBPS58K_TOP,NEUROSURGERY LVHC REGIONAL: INSULA GLIOMA’S/ COMPLEX LOW GRADE GLIOMA’S - TOP UP,1,BLUE,BLUE,BLUE,ACUTE
NCBPS58E,NEUROSURGERY LVHC REGIONAL: LATERAL SKULL BASED TUMOURS,1,GREEN,GREEN,GREEN,ACUTE
NCBPS58E_TOP,NEUROSURGERY LVHC REGIONAL: LATERAL SKULL BASED TUMOURS - TOP UP,1,BLUE,BLUE,BLUE,ACUTE
NCBPS58H,NEUROSURGERY LVHC REGIONAL: PINEAL TUMOUR SURGERIES - RESECTION,1,GREEN,GREEN,GREEN,ACUTE
NCBPS58H_TOP,NEUROSURGERY LVHC REGIONAL: PINEAL TUMOUR SURGERIES - RESECTION - TOP UP,1,BLUE,BLUE,BLUE,ACUTE
NCBPS58I,NEUROSURGERY LVHC REGIONAL: REMOVAL OF ARTERIOVENOUS MALFORMATIONS OF THE NERVOUS SYSTEM,1,GREEN,GREEN,GREEN,ACUTE
NCBPS58I_TOP,NEUROSURGERY LVHC REGIONAL: REMOVAL OF ARTERIOVENOUS MALFORMATIONS OF THE NERVOUS SYSTEM - TOP UP,1,BLUE,BLUE,BLUE,ACUTE
NCBPS58F,NEUROSURGERY LVHC REGIONAL: SURGICAL REMOVAL OF BRAINSTEM LESIONS,1,GREEN,GREEN,GREEN,ACUTE
NCBPS58F_TOP,NEUROSURGERY LVHC REGIONAL: SURGICAL REMOVAL OF BRAINSTEM LESIONS - TOP UP,1,BLUE,BLUE,BLUE,ACUTE
NCBPS08N,NEUROSURGERY NETWORK,1,BLUE,BLUE,BLUE,ACUTE
NCBPSNSD,NEW SERVICE DEVELOPMENTS AND CLINICAL POLICIES (TEMPORARILY RETAINED),1,RED,RED,RED,BOTH
NCBPS08C,NF2-SCHWANNOMATOSIS SERVICE (ADULTS AND CHILDREN),1,RED,RED,RED,ACUTE
NCBAFXXX,NHS ENGLAND - ARMED FORCES,1,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE
NCBCDXXX,NHS ENGLAND - CANCER DRUG FUND,1,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE
NCBHJXXX,NHS ENGLAND - HEALTH IN JUSTICE,1,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE
NCBHCXXX,NHS ENGLAND - HEPATITIS C,1,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE
NCBIMXXX,NHS ENGLAND - INNOVATIVE MEDICINES FUND,1,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE
NCBPSHST,NHS ENGLAND - OTHER HOSTED SERVICES,1,BLUE,BLUE,BLUE,BOTH
NCBSDXXX,NHS ENGLAND - SECONDARY DENTAL,1,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE
NCBPSXXX,NHS ENGLAND - SPECIALISED SERVICE BUT NOT ATTRIBUTABLE,1,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,BOTH
99999999,NON-NHS ENGLAND DIRECTLY-COMMISSIONED SERVICE,1,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE
NCBPS01H,OCULAR ONCOLOGY SERVICE (ADULTS),1,RED,RED,RED,ACUTE
NCBPS61U,OESOPHAGEAL AND GASTRIC CANCER SURGERY (ADULTS),1,GREEN,GREEN,GREEN,ACUTE
NCBPS61U_TOP,OESOPHAGEAL AND GASTRIC CANCER SURGERY (ADULTS) - TOP UP,1,BLUE,BLUE,BLUE,ACUTE
NCBPS22O,OFFENDER PERSONALITY DISORDER,1,RED,RED,RED,MENTAL HEALTH
NCBPSU23,OPEN FOETAL SURGERY TO TREAT FOETUSES WITH OPEN SPINA BIFIDA,1,RED,RED,RED,ACUTE
NCBPS61Q,OPHTHALMIC CANCER SURGERY (ADULTS),1,GREEN,GREEN,GREEN,ACUTE
NCBPS37A,OPHTHALMIC PATHOLOGY SERVICE (ADULTS AND CHILDREN),1,RED,RED,RED,ACUTE
NCBPS37B,OSTEO-ODONTO-KERATOPROSTHESIS SERVICE FOR CORNEAL BLINDNESS (ADULTS),1,RED,RED,RED,ACUTE
NCBPS44A,OVARIAN AND TESTICULAR TISSUE CRYOPRESERVATION FOR PATIENTS RECEIVING GONADOTOXIC TREATMENT WHO ARE AT HIGH RISK OF INFERTILITY AND CANNOT STORE MATURE EGGS OR SPERM,1,RED,RED,RED,ACUTE
NCBPSF23,PAEDIATRIC AND PERINATAL POST MORTEM SERVICES,1,AMBER,RED,RED,ACUTE
NCBPS23B,PAEDIATRIC CARDIAC SERVICES,1,GREEN,GREEN,GREEN,ACUTE
NCBPS23B_TOP,PAEDIATRIC CARDIAC SERVICES - TOP UP,1,BLUE,BLUE,BLUE,ACUTE
NCBPSPIN,PAEDIATRIC CRITICAL CARE / SURGERY NETWORK,1,BLUE,BLUE,BLUE,ACUTE
NCBPSPIC,PAEDIATRIC CRITICAL CARE SERVICES,1,GREEN,GREEN,GREEN,ACUTE
NCBPS12B,PAEDIATRIC INTESTINAL PSEUDO-OBSTRUCTIVE DISORDERS SERVICE,1,RED,RED,RED,ACUTE
NCBPS07Y,PAEDIATRIC NEUROREHABILTATION,1,GREEN,GREEN,GREEN,ACUTE
NCBPS29Y,PAEDIATRIC PECTUS SURGERY,1,RED,RED,RED,ACUTE
NCBPS29Y_TOP,PAEDIATRIC PECTUS SURGERY - TOP UP,1,BLUE,BLUE,BLUE,ACUTE
NCBPS01A,PAIN-RELATED COMPLEX CANCER LATE EFFECTS REHABILITATION SERVICE (ADULTS),1,RED,RED,RED,ACUTE
NCBPS27C,PANCREAS TRANSPLANTATION SERVICE (ADULTS),1,RED,RED,RED,ACUTE
NCBPS19Q,PANCREATIC CANCER SURGERY (ADULTS),1,GREEN,GREEN,GREEN,ACUTE
NCBPS19Q_TOP,PANCREATIC CANCER SURGERY (ADULTS) - TOP UP,1,BLUE,BLUE,BLUE,ACUTE
NCBPS03A,PAROXYSMAL NOCTURNAL HAEMOGLOBINURIA SERVICE (ADULTS AND ADOLESCENTS),1,RED,RED,RED,ACUTE
NCBPS29T,PECTUS SURGERY,0,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,ACUTE
NCBPS51E,PELVIC EXENTERATION SURGERY,1,RED,RED,RED,ACUTE
NCBPS01P,POSITRON EMISSION TOMOGRAPHY-COMPUTED TOMOGRAPHY SERVICES (ADULTS AND CHILDREN),1,AMBER,RED,RED,ACUTE
NCBPS20H,PRE-IMPLANTATION GENETIC DIAGNOSIS AND ASSOCIATED IN-VITRO FERTILISATION SERVICES,1,AMBER,RED,RED,ACUTE
NCBPS29P,PRIMARY CILIARY DYSKINESIA MANAGEMENT SERVICE (ADULTS AND CHILDREN),1,RED,RED,RED,ACUTE
NCBPS01E,PRIMARY MALIGNANT BONE TUMOURS SERVICE,0,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,ACUTE
NCBPS01O,PRIMARY MALIGNANT BONE TUMOURS SERVICE (ADULTS AND ADOLESCENTS),1,AMBER,RED,RED,ACUTE
NCBPS01O_TOP,PRIMARY MALIGNANT BONE TUMOURS SERVICE (ADULTS AND ADOLESCENTS) - TOP UP,1,BLUE,BLUE,BLUE,ACUTE
NCBPS05P,PROSTHETICS (ADULTS AND CHILDREN),1,GREEN,GREEN,GREEN,ACUTE
NCBPS01B,PROTON BEAM THERAPY SERVICE (ADULTS AND CHILDREN),1,RED,RED,RED,ACUTE
NCBPS01F,PSEUDOMYXOMA PERITONEI SERVICE (ADULTS),1,RED,RED,RED,ACUTE
NCBPS22V,PSYCHOLOGICAL MEDICINE INPATIENT SERVICES FOR SEVERE AND COMPLEX PRESENTATIONS OF MEDICALLY UNEXPLAINED PHYSICAL SYMPTOMS,1,RED,RED,RED,MENTAL HEALTH
NCBPS13J,PULMONARY HYPERTENSION SERVICE FOR CHILDREN,1,RED,RED,RED,ACUTE
NCBPS13M,PULMONARY THROMBOENDARTERECTOMY SERVICE (ADULTS AND ADOLESCENTS),1,RED,RED,RED,ACUTE
NCBPS51N,RADIOTHERAPY NETWORK,1,BLUE,BLUE,BLUE,ACUTE
NCBPS01R,RADIOTHERAPY SERVICES (ADULTS),1,GREEN,GREEN,GREEN,ACUTE
NCBPS51R,RADIOTHERAPY SERVICES (CHILDREN),1,GREEN,GREEN,GREEN,ACUTE
NCBPS36D,RARE MITOCHONDRIAL DISORDERS SERVICE (ADULTS AND CHILDREN),1,RED,RED,RED,ACUTE
NCBPS04L,RECONSTRUCTIVE SURGERY AND CONGENITAL ANOMALIES OF THE FEMALE GENITAL TRACT,1,AMBER,RED,RED,ACUTE
NCBPS11N,RENAL NETWORK,1,BLUE,BLUE,BLUE,ACUTE
NCBPS73S,RENAL TRANSPLANTATION (CHILDREN),1,AMBER,RED,RED,ACUTE
NCBPS01G,RETINOBLASTOMA SERVICE (CHILDREN),1,RED,RED,RED,ACUTE
NCBPS22U,SECURE AND SPECIALISED MENTAL HEALTH SERVICES (ADULT) (HIGH),1,RED,RED,RED,MENTAL HEALTH
NCBPS22S,SECURE AND SPECIALISED MENTAL HEALTH SERVICES (ADULT) (MEDIUM AND LOW),0,AMBER,NOT APPLICABLE,NOT APPLICABLE,MENTAL HEALTH
NCBPS22SA,SECURE AND SPECIALISED MENTAL HEALTH SERVICES (ADULT) (MEDIUM) - EXCLUDING WEMS / ABI / DEAF,1,AMBER,GREEN,GREEN,MENTAL HEALTH
NCBPS22SB,SECURE AND SPECIALISED MENTAL HEALTH SERVICES (ADULT) (MEDIUM) - WEMS / ABI / DEAF,1,AMBER,RED,RED,MENTAL HEALTH
NCBPS22SC,SECURE AND SPECIALISED MENTAL HEALTH SERVICES (ADULT) (LOW) - EXCLUDING WEMS / ABI / DEAF,1,AMBER,GREEN,GREEN,MENTAL HEALTH
NCBPS22SD,SECURE AND SPECIALISED MENTAL HEALTH SERVICES (ADULT) (LOW) - WEMS / ABI / DEAF,1,AMBER,RED,RED,MENTAL HEALTH
NCBPS22SE,SECURE AND SPECIALISED MENTAL HEALTH SERVICES (ADULT) COMMUNITY FORENSIC ,1,AMBER,GREEN,GREEN,MENTAL HEALTH
NCBPS22SF,SECURE AND SPECIALISED MENTAL HEALTH SERVICES (ADULT) ASSESSMENT - EXCLUDING WEMS / ABI / DEAF,1,AMBER,GREEN,GREEN,MENTAL HEALTH
NCBPS22SG,SECURE AND SPECIALISED MENTAL HEALTH SERVICES (ADULT) ASSESSMENT - WEMS / ABI / DEAF,1,AMBER,RED,RED,MENTAL HEALTH
NCBPS08J,SELECTIVE DORSAL RHIZOTOMY,1,GREEN,GREEN,GREEN,ACUTE
NCBPS08J_TOP,SELECTIVE DORSAL RHIZOTOMY - TOP UP,1,BLUE,BLUE,BLUE,ACUTE
NCBPS27D,SEVERE ACUTE PORPHYRIA SERVICE (ADULTS AND CHILDREN),1,RED,RED,RED,ACUTE
NCBPS16C,SEVERE COMBINED IMMUNODEFICIENCY AND RELATED DISORDERS SERVICE (CHILDREN),1,RED,RED,RED,ACUTE
NCBPS12C,SEVERE INTESTINAL FAILURE SERVICE,0,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,ACUTE
NCBPS12Z,SEVERE INTESTINAL FAILURE SERVICE (ADULTS),1,AMBER,RED,RED,ACUTE
NCBPS12Y,SEVERE INTESTINAL FAILURE SERVICE HPN ON-COSTS (ADULTS),1,AMBER,RED,RED,ACUTE
NCBPS22H,SEVERE OBSESSIVE COMPULSIVE DISORDER AND BODY DYSMORPHIC DISORDER (CHILD),0,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MENTAL HEALTH
NCBPS22F,SEVERE OBSESSIVE COMPULSIVE DISORDER AND BODY DYSMORPHIC DISORDER SERVICE (ADULTS AND ADOLESCENTS),1,AMBER,RED,RED,MENTAL HEALTH
NCBPS12D,SMALL BOWEL TRANSPLANTATION SERVICE (ADULTS AND CHILDREN),1,RED,RED,RED,ACUTE
NCBPSYYY,SPECIALISED MENTAL HEALTH SERVICES EXCEPTIONAL PACKAGES OF CARE,1,AMBER,RED,RED,MENTAL HEALTH
NCBPS04K,SPECIALISED SERVICES FOR WOMEN WITH COMPLICATIONS OF MESH INSERTED FOR URINARY INCONTINENCE AND VAGINAL PROLAPSE (16 YEARS AND ABOVE),1,AMBER,RED,RED,ACUTE
NCBPS04D,SPECIALIST ADULT GYNAECOLOGICAL SURGERY SERVICES: COMPLEX URINARY INCONTINENCE AND GENITAL PROLAPSE,1,GREEN,GREEN,GREEN,ACUTE
NCBPS04A,SPECIALIST ADULT GYNAECOLOGICAL SURGERY SERVICES: SEVERE ENDOMETRIOSIS,1,GREEN,GREEN,GREEN,ACUTE
NCBPS04J,SPECIALIST ADULT GYNAECOLOGICAL SURGERY SERVICES: URINARY FISTULA,1,RED,RED,RED,ACUTE
NCBPS41P,SPECIALIST ADULT UROLOGICAL SURGERY SERVICES: PENILE IMPLANTS,1,GREEN,GREEN,GREEN,ACUTE
NCBPS41S,SPECIALIST ADULT UROLOGICAL SURGERY SERVICES: SURGICAL SPERM REMOVAL,1,GREEN,GREEN,GREEN,ACUTE
NCBPS41U,SPECIALIST ADULT UROLOGICAL SURGERY SERVICES: URETHRAL RECONSTRUCTION,1,GREEN,GREEN,GREEN,ACUTE
NCBPS17Z,SPECIALIST ALLERGY SERVICES (ADULTS AND CHILDREN),1,GREEN,GREEN,GREEN,ACUTE
NCBPS05C,SPECIALIST AUGMENTATIVE AND ALTERNATIVE COMMUNICATION AIDS (ADULTS AND CHILDREN),1,AMBER,GREEN,GREEN,ACUTE
NCBPS18E,SPECIALIST BONE AND JOINT INFECTION,1,GREEN,GREEN,GREEN,ACUTE
NCBPS09Z,SPECIALIST BURN CARE SERVICES,0,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,ACUTE
NCBPS09A,SPECIALIST BURN CARE SERVICES (ADULTS),1,RED,RED,RED,ACUTE
NCBPS09C,SPECIALIST BURN CARE SERVICES (CHILDREN),1,RED,RED,RED,ACUTE
NCBPS23A,SPECIALIST CANCER SERVICES FOR CHILDREN AND YOUNG ADULTS: PAEDIATRIC CANCER,1,GREEN,GREEN,GREEN,ACUTE
NCBPS23A_TOP,SPECIALIST CANCER SERVICES FOR CHILDREN AND YOUNG ADULTS: PAEDIATRIC CANCER - TOP UP,1,BLUE,BLUE,BLUE,ACUTE
NCBPS01T,SPECIALIST CANCER SERVICES FOR CHILDREN AND YOUNG ADULTS: YOUNG ADULTS,1,GREEN,GREEN,GREEN,ACUTE
NCBPS01T_TOP,SPECIALIST CANCER SERVICES FOR CHILDREN AND YOUNG ADULTS: YOUNG ADULTS - TOP UP,1,BLUE,BLUE,BLUE,ACUTE
NCBPS27E,SPECIALIST CANCER SERVICES: ADRENAL CANCER (ADULTS),1,GREEN,GREEN,GREEN,ACUTE
NCBPS01J,SPECIALIST CANCER SERVICES: ANAL CANCER (ADULTS),1,GREEN,GREEN,GREEN,ACUTE
NCBPS01V,SPECIALIST CANCER SERVICES: BILIARY TRACT CANCER (ADULTS),1,GREEN,GREEN,GREEN,ACUTE
NCBPS04F,SPECIALIST CANCER SERVICES: GYNAECOLOGICAL CANCER (ADULTS),1,GREEN,GREEN,GREEN,ACUTE
NCBPS01M,SPECIALIST CANCER SERVICES: HEAD AND NECK CANCER (ADULTS),1,GREEN,GREEN,GREEN,ACUTE
NCBPS01M_TOP,SPECIALIST CANCER SERVICES: HEAD AND NECK CANCER (ADULTS) - TOP UP,1,BLUE,BLUE,BLUE,ACUTE
NCBPS01N,"SPECIALIST CANCER SERVICES: KIDNEY, BLADDER AND PROSTATE CANCER (ADULTS)",1,GREEN,GREEN,GREEN,ACUTE
NCBPS01W,SPECIALIST CANCER SERVICES: LIVER CANCER (ADULTS),1,GREEN,GREEN,GREEN,ACUTE
NCBPS01K,SPECIALIST CANCER SERVICES: MALIGNANT MESOTHELIOMA (ADULTS),1,GREEN,GREEN,GREEN,ACUTE
NCBPS01U,SPECIALIST CANCER SERVICES: OESOPHAGEAL AND GASTRIC CANCER (ADULTS),1,GREEN,GREEN,GREEN,ACUTE
NCBPS01U_TOP,SPECIALIST CANCER SERVICES: OESOPHAGEAL AND GASTRIC CANCER (ADULTS) - TOP UP,1,BLUE,BLUE,BLUE,ACUTE
NCBPS01Y,SPECIALIST CANCER SERVICES: OTHER CANCERS (ADULTS),1,GREEN,GREEN,GREEN,ACUTE
NCBPS01Y_TOP,SPECIALIST CANCER SERVICES: OTHER CANCERS (ADULTS) - TOP UP,1,BLUE,BLUE,BLUE,ACUTE
NCBPS19V,SPECIALIST CANCER SERVICES: PANCREATIC CANCER (ADULTS),1,GREEN,GREEN,GREEN,ACUTE
NCBPS19V_TOP,SPECIALIST CANCER SERVICES: PANCREATIC CANCER (ADULTS) - TOP UP,1,BLUE,BLUE,BLUE,ACUTE
NCBPS01X,SPECIALIST CANCER SERVICES: PENILE CANCER (ADULTS),1,AMBER,GREEN,GREEN,ACUTE
NCBPS01X_TOP,SPECIALIST CANCER SERVICES: PENILE CANCER (ADULTS) - TOP UP,1,BLUE,BLUE,BLUE,ACUTE
NCBPS01Q,SPECIALIST CANCER SERVICES: RARE BRAIN AND CNS CANCER (ADULTS),1,GREEN,GREEN,GREEN,ACUTE
NCBPS24Y,SPECIALIST CANCER SERVICES: SKIN CANCER (ADULTS),1,GREEN,GREEN,GREEN,ACUTE
NCBPS01L,SPECIALIST CANCER SERVICES: SOFT CELL CANCER (ADULTS),1,AMBER,RED,RED,ACUTE
NCBPS01L_TOP,SPECIALIST CANCER SERVICES: SOFT CELL CANCER (ADULTS) - TOP UP,1,BLUE,BLUE,BLUE,ACUTE
NCBPS01Z,SPECIALIST CANCER SERVICES: TESTICULAR CANCER (ADULTS),1,GREEN,GREEN,GREEN,ACUTE
NCBPS01Z_TOP,SPECIALIST CANCER SERVICES: TESTICULAR CANCER (ADULTS) - TOP UP,1,BLUE,BLUE,BLUE,ACUTE
NCBPS33B,SPECIALIST COLORECTAL SURGERY SERVICES: COMPLEX INFLAMMATORY BOWEL DISEASE (ADULTS),1,GREEN,GREEN,GREEN,ACUTE
NCBPS33A,SPECIALIST COLORECTAL SURGERY SERVICES: COMPLEX SURGERY FOR INCONTINENCE (ADULTS),1,GREEN,GREEN,GREEN,ACUTE
NCBPS33R,SPECIALIST COLORECTAL SURGERY SERVICES: RECTOPEXY MESH REMOVAL (ADULTS),1,AMBER,RED,RED,ACUTE
NCBPS33C,SPECIALIST COLORECTAL SURGERY SERVICES: TRANSANAL ENDOSCOPIC MICROSURGERY (ADULTS),1,GREEN,GREEN,GREEN,ACUTE
