Organisation_Code,Organisation_Name,ICB_Code,ICB_Name
27D,NHS Cheshire and Merseyside ICB,QYG,NHS Cheshire and Merseyside Integrated Care Board
36J,NHS West Yorkshire ICB,QWO,NHS West Yorkshire Integrated Care Board
36L,NHS South West London ICB,QWE,NHS South West London Integrated Care Board
42D,NHS Humber and North Yorkshire ICB,QOQ,NHS Humber and North Yorkshire Integrated Care Board
52R,NHS Nottingham and Nottinghamshire ICB,QT1,NHS Nottingham and Nottinghamshire Integrated Care Board
70F,NHS Sussex ICB,QNX,NHS Sussex Integrated Care Board
71E,NHS Lincolnshire ICB,QJM,NHS Lincolnshire Integrated Care Board
72Q,NHS South East London ICB,QKK,NHS South East London Integrated Care Board
78H,NHS Northamptonshire ICB,QPM,NHS Northamptonshire Integrated Care Board
84H,NHS North East and North Cumbria ICB,QHM,NHS North East and North Cumbria Integrated Care Board
91Q,NHS Kent and Medway ICB,QKS,NHS Kent and Medway Integrated Care Board
92A,NHS Surrey Heartlands ICB,QXU,NHS Surrey Heartlands Integrated Care Board
92G,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB",QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board"
93C,NHS North Central London ICB,QMJ,NHS North Central London Integrated Care Board
97R,NHS Sussex ICB,QNX,NHS Sussex Integrated Care Board
99A,NHS Cheshire and Merseyside ICB,QYG,NHS Cheshire and Merseyside Integrated Care Board
99C,NHS North East and North Cumbria ICB,QHM,NHS North East and North Cumbria Integrated Care Board
99E,NHS Mid and South Essex ICB,QH8,NHS Mid and South Essex Integrated Care Board
99F,NHS Mid and South Essex ICB,QH8,NHS Mid and South Essex Integrated Care Board
99G,NHS Mid and South Essex ICB,QH8,NHS Mid and South Essex Integrated Care Board
A3A8R,NHS North East London ICB,QMF,NHS North East London Integrated Care Board
A4R1E,Newham - SubICB Reporting Entity,QMF,NHS North East London Integrated Care Board
A7V7E,City and Hackney - SubICB Reporting Entity,QMF,NHS North East London Integrated Care Board
B1G9X,Haringey - SubICB Reporting Entity,QMJ,NHS North Central London Integrated Care Board
B2M3M,NHS Coventry and Warwickshire ICB,QWU,NHS Coventry and Warwickshire Integrated Care Board
C3W4U,Greenwich - SubICB Reporting Entity,QKK,NHS South East London Integrated Care Board
D2P2L,NHS Black Country ICB,QUA,NHS Black Country Integrated Care Board
D2Z9S,West London - SubICB Reporting Entity,QRV,NHS North West London Integrated Care Board
D4U1Y,NHS Frimley ICB,QNQ,NHS Frimley Integrated Care Board
D7Z1O,Southwark - SubICB Reporting Entity,QKK,NHS South East London Integrated Care Board
D9P3T,Islington - SubICB Reporting Entity,QMJ,NHS North Central London Integrated Care Board
D9Y0V,NHS Hampshire and Isle of Wight ICB,QRL,NHS Hampshire and Isle of Wight Integrated Care Board
E9S1I,Havering - SubICB Reporting Entity,QMF,NHS North East London Integrated Care Board
F7Z3N,Waltham Forest - SubICB Reporting Entity,QMF,NHS North East London Integrated Care Board
G2L3T,Barnet - SubICB Reporting Entity,QMJ,NHS North Central London Integrated Care Board
G7G6U,Wandsworth - SubICB Reporting Entity,QWE,NHS South West London Integrated Care Board
H1A0E,Lambeth - SubICB Reporting Entity,QKK,NHS South East London Integrated Care Board
I1L7N,Richmond - SubICB Reporting Entity,QWE,NHS South West London Integrated Care Board
I6C5L,Redbridge - SubICB Reporting Entity,QMF,NHS North East London Integrated Care Board
J0P1R,Camden - SubICB Reporting Entity,QMJ,NHS North Central London Integrated Care Board
J1I6Y,Ealing - SubICB Reporting Entity,QRV,NHS North West London Integrated Care Board
K2Q5Q,Sutton - SubICB Reporting Entity,QWE,NHS South West London Integrated Care Board
K8B2G,Bromley - SubICB Reporting Entity,QKK,NHS South East London Integrated Care Board
L3J1B,Hillingdon - SubICB Reporting Entity,QRV,NHS North West London Integrated Care Board
L7N8K,Croydon - SubICB Reporting Entity,QWE,NHS South West London Integrated Care Board
