National_POD_Code
ADJUSTMENT
AE
AMBHTR
AMBOTHER
AMBSTC
AMBSTR
AMBUE
ARD
BLOCK
CCTRANS
COMM
COMMINIT
COMMSUB
CQUIN
CRD
DAIMG
DALAB
DAOTHER
DCRE
IPOBD
DC
DEVICE
DRUG
EL
ELOBD
ELXBD
IPFCE
IPSPECIAL
IVF
LAC
MAINT
MATPATHAN
MATPATHPN
MDT
NAOTHER
OTHER
PATIENT
POC
PTSTRANS
NEL
NELNE
NELNEOBD
NELNEXBD
NELOBD
NELST
NELXBD
NF2FFA
NF2FFUP
OPFA
OPFAHOME
OPFAMPCL
OPFAMPNCL
OPFUP
OPPROCFA
OPPROCFUP
OPFAPREOP
OPFASPCL
OPFASPNCL
OPFUPHOME
OPFUPMPCL
OPFUPMPNCL
OPFUPPREOP
OPFUPSPCL
OPFUPSPNCL
OPPROC
RADAY
RANIGHT
SCREEN
TEST
UNBACC
UNBCHEMO
UNBNCC
UNBOTHER
UNBPALL
UNBPCC
UNBRAD
UNBREHAB
UNBRTHPY
WAFA
WAFUP
YOC
